year,inflation
1960,1.003575704
1961,3.44749623
1962,4.196498882
1963,2.01854356
1964,3.281586947
1965,4.773774554
1966,3.909617792
1967,2.482115605
1968,4.697427988
1969,5.44666363
1970,6.366568417
1971,9.444837423
1972,7.071098395
1973,9.196033167
1974,16.04401119
1975,24.20728767
1976,16.55952256
1977,15.84026675
1978,8.263141039
1979,13.42127998
1980,17.96592427
1981,11.87662651
1982,8.598863833
1983,4.609303273
1984,4.960710978
1985,6.07139434
1986,3.427609404
1987,4.148922321
1988,4.155351716
1989,5.760249092
1990,8.063460909
1991,7.461782957
1992,4.591549296
1993,2.558577969
1994,2.219012605
1995,2.697495183
1996,2.851782364
1997,2.201143135
1998,1.820561637
1999,1.752950801
2000,1.182956242
2001,1.532349603
2002,1.520402459
2003,1.376500385
2004,1.390397567
2005,2.08913649
2006,2.455661664
2007,2.386561508
2008,3.521408563
2009,1.961731736
2010,2.492654725
2011,3.856112447
2012,2.573234797
2013,2.291666667
2014,1.451120163
2015,0.368046842
2016,1.008417368
2017,2.557755776
2018,2.292839903
2019,1.738104601
2020,0.989486704
2021,2.518371096
