,Country Name,GDP GROWTH,GDP CHANGES
205,United States,5.945484761,2.33151E+13
40,China,8.109792581,1.77341E+13
96,Japan,1.657071117,4.94088E+12
71,Germany,2.626987267,4.25993E+12
87,India,8.681228731,3.1763E+12
204,United Kingdom,7.524910374,3.13138E+12
66,France,6.816589136,2.95788E+12
94,Italy,6.737277123,2.1077E+12
34,Canada,4.540887309,1.98834E+12
102,"Korea, Rep.",4.145323954,1.81096E+12
159,Russian Federation,4.7495841,1.77878E+12
26,British Virgin Islands,5.843934342,1.60898E+12
10,Austria,4.556850913,1.55267E+12
177,Spain,5.519594973,1.42738E+12
126,Mexico,4.720565298,1.27284E+12
88,Indonesia,3.691240112,1.18609E+12
138,Netherlands,4.863219149,1.01285E+12
164,Saudi Arabia,3.240929768,8.33541E+11
197,Turkiye,11.35349641,8.19035E+11
187,Switzerland,4.221716577,8.0064E+11
154,Poland,6.847713362,6.79445E+11
186,Sweden,5.075084725,6.35664E+11
18,Belize,15.22613065,5.94104E+11
191,Thailand,1.533835584,5.05947E+11
91,Ireland,13.58824711,5.04183E+11
93,Israel,8.611990348,4.88527E+11
7,Armenia,5.7,4.87227E+11
145,Norway,3.880936036,4.82175E+11
11,Azerbaijan,5.600037273,4.80368E+11
