Country Name,GDP GROWTH,GDP CHANGES
United States,5.945484761,2.33151
China,8.109792581,1.77341
Japan,1.657071117,4.94088
Germany,2.626987267,4.25993
India,8.681228731,3.1763
United Kingdom,7.524910374,3.13138
France,6.816589136,2.95788
Italy,6.737277123,2.1077
Canada,4.540887309,1.98834
"Korea, Rep.",4.145323954,1.81096
Russian Federation,4.7495841,1.77878
British Virgin Islands,5.843934342,1.60898
Austria,4.556850913,1.55267
Spain,5.519594973,1.42738
Mexico,4.720565298,1.27284
Indonesia,3.691240112,1.18609
Netherlands,4.863219149,1.01285
Saudi Arabia,3.240929768,0.833541
Turkiye,11.35349641,0.819035
Switzerland,4.221716577,0.80064
Poland,6.847713362,0.679445
Sweden,5.075084725,0.6.35664
Belize,15.22613065,0.594104
Thailand,1.533835584,0.505947
Ireland,13.58824711,0.504183
Israel,8.611990348,0.488527
Armenia,5.7,0.487227
Norway,3.880936036,0.482175
Azerbaijan,5.600037273,0.480368
