Rank,Country,GDP,Happyness
1,Finland (7.821),53654.7503,(7.821)
2,Denmark (7.636),68007.75667,(7.636)
3,Iceland (7.557),68727.63666,(7.557)
4,Switzerland (7.512),91991.60046,(7.512)
5,Netherlands (7.415),57767.87881,(7.415)
6,Luxembourg* (7.404),133590.147,(7.404)
7,Sweden (7.384),61028.73806,(7.384)
8,Norway (7.365),89154.27609,(7.365)
9,Israel (7.364),52170.71186,(7.364)
10,New Zealand (7.200),48781.02663,(7.200)
11,Austria (7.163),53637.70571,(7.163)
12,Australia (7.162),60443.10916,(7.162)
13,Ireland (7.041),100172.0793,(7.041)
14,Germany (7.034),51203.55447,(7.034)
15,Canada (7.025),51987.93905,(7.025)
16,United States (6.977),70248.629,(6.977)
17,United Kingdom (6.943),46510.28278,(6.943)
18,Czechia (6.920),26821.24523,(6.920)
19,Belgium (6.805),51247.01435,(6.805)
20,France (6.687),43658.97898,(6.687)
21,Bahrain (6.647),26562.96914,(6.647)
22,Slovenia (6.630),29291.40062,(6.630)
23,Costa Rica (6.582),12472.44373,(6.582)
24,United Arab Emirates (6.576),44315.55418,(6.576)
25,Saudi Arabia (6.523),23185.87079,(6.523)
26,Taiwan Province of China (6.512),33059,(6.512)
27,Singapore (6.480),72794.00302,(6.480)
28,Romania (6.477),14858.22943,(6.477)
29,Spain (6.476),30103.51373,(6.476)
30,Uruguay (6.474),17313.18835,(6.474)
31,Italy (6.467),35657.49756,(6.467)
32,Kosovo (6.455),5269.783901,(6.455)
33,Malta (6.447),33486.67198,(6.447)
34,Lithuania (6.446),23723.34025,(6.446)
35,Slovakia (6.391),21391.92533,(6.391)
36,Estonia (6.341),27943.70122,(6.341)
37,Panama (6.309),14617.60448,(6.309)
38,Brazil (6.293),7507.160971,(6.293)
39,Guatemala* (6.262),5025.542291,(6.262)
40,Kazakhstan (6.234),10373.78979,(6.234)
41,Cyprus (6.221),31551.81641,(6.221)
42,Latvia (6.180),21148.16294,(6.180)
43,Serbia (6.178),9230.178316,(6.178)
44,Chile (6.172),16265.09598,(6.172)
45,Nicaragua (6.165),2045.535402,(6.165)
46,Mexico (6.128),10045.6805,(6.128)
47,Croatia (6.125),17685,(6.125)
48,Poland (6.123),17999.90995,(6.123)
49,El Salvador (6.120),4551.184661,(6.120)
50,Kuwait* (6.106),24300,(6.106)
51,Hungary (6.086),18728.12189,(6.086)
