Year,Type,Value
1960,GDP (Total US$),5.433E+11
1961,GDP (Total US$),5.633E+11
1962,GDP (Total US$),6.051E+11
1963,GDP (Total US$),6.386E+11
1964,GDP (Total US$),6.858E+11
1965,GDP (Total US$),7.437E+11
1966,GDP (Total US$),8.15E+11
1967,GDP (Total US$),8.617E+11
1968,GDP (Total US$),9.425E+11
1969,GDP (Total US$),1.0199E+12
1970,GDP (Total US$),1.0733E+12
1971,GDP (Total US$),1.16485E+12
1972,GDP (Total US$),1.27911E+12
1973,GDP (Total US$),1.42538E+12
1974,GDP (Total US$),1.54524E+12
1975,GDP (Total US$),1.6849E+12
1976,GDP (Total US$),1.87341E+12
1977,GDP (Total US$),2.08183E+12
1978,GDP (Total US$),2.3516E+12
1979,GDP (Total US$),2.62733E+12
1980,GDP (Total US$),2.85731E+12
1981,GDP (Total US$),3.20704E+12
1982,GDP (Total US$),3.34379E+12
1983,GDP (Total US$),3.63404E+12
1984,GDP (Total US$),4.03761E+12
1985,GDP (Total US$),4.33898E+12
1986,GDP (Total US$),4.57963E+12
1987,GDP (Total US$),4.85522E+12
1988,GDP (Total US$),5.23644E+12
1989,GDP (Total US$),5.64158E+12
1990,GDP (Total US$),5.96314E+12
1991,GDP (Total US$),6.15813E+12
1992,GDP (Total US$),6.52033E+12
1993,GDP (Total US$),6.85856E+12
1994,GDP (Total US$),7.28724E+12
1995,GDP (Total US$),7.63975E+12
1996,GDP (Total US$),8.07312E+12
1997,GDP (Total US$),8.57755E+12
1998,GDP (Total US$),9.06282E+12
1999,GDP (Total US$),9.63117E+12
2000,GDP (Total US$),1.02509E+13
2001,GDP (Total US$),1.05819E+13
2002,GDP (Total US$),1.09291E+13
2003,GDP (Total US$),1.14564E+13
2004,GDP (Total US$),1.22172E+13
2005,GDP (Total US$),1.30392E+13
2006,GDP (Total US$),1.38156E+13
2007,GDP (Total US$),1.44742E+13
2008,GDP (Total US$),1.47699E+13
2009,GDP (Total US$),1.44781E+13
2010,GDP (Total US$),1.5049E+13
2011,GDP (Total US$),1.55997E+13
2012,GDP (Total US$),1.6254E+13
2013,GDP (Total US$),1.68432E+13
2014,GDP (Total US$),1.75507E+13
2015,GDP (Total US$),1.8206E+13
2016,GDP (Total US$),1.86951E+13
2017,GDP (Total US$),1.94773E+13
2018,GDP (Total US$),2.05331E+13
2019,GDP (Total US$),2.1381E+13
2020,GDP (Total US$),2.10605E+13
2021,GDP (Total US$),2.33151E+13
1960,Inflation Rate (%),1.457975986
1961,Inflation Rate (%),1.070724148
1962,Inflation Rate (%),1.198773348
1963,Inflation Rate (%),1.239669421
1964,Inflation Rate (%),1.278911565
1965,Inflation Rate (%),1.585169264
1966,Inflation Rate (%),3.015075377
1967,Inflation Rate (%),2.772785623
1968,Inflation Rate (%),4.271796153
1969,Inflation Rate (%),5.4623862
1970,Inflation Rate (%),5.838255338
1971,Inflation Rate (%),4.292766688
1972,Inflation Rate (%),3.272278247
1973,Inflation Rate (%),6.177760064
1974,Inflation Rate (%),11.0548048
1975,Inflation Rate (%),9.143146865
1976,Inflation Rate (%),5.744812635
1977,Inflation Rate (%),6.501683995
1978,Inflation Rate (%),7.630963839
1979,Inflation Rate (%),11.25447113
1980,Inflation Rate (%),13.54920197
1981,Inflation Rate (%),10.33471534
1982,Inflation Rate (%),6.131427
1983,Inflation Rate (%),3.212435233
1984,Inflation Rate (%),4.300535475
1985,Inflation Rate (%),3.545644152
1986,Inflation Rate (%),1.898047722
1987,Inflation Rate (%),3.664563218
1988,Inflation Rate (%),4.077741107
1989,Inflation Rate (%),4.82700303
1990,Inflation Rate (%),5.39795644
1991,Inflation Rate (%),4.234963965
1992,Inflation Rate (%),3.028819678
1993,Inflation Rate (%),2.951656966
1994,Inflation Rate (%),2.607441592
1995,Inflation Rate (%),2.805419689
1996,Inflation Rate (%),2.9312042
1997,Inflation Rate (%),2.337689937
1998,Inflation Rate (%),1.552279099
1999,Inflation Rate (%),2.188027197
2000,Inflation Rate (%),3.376857271
2001,Inflation Rate (%),2.826171119
2002,Inflation Rate (%),1.586031627
2003,Inflation Rate (%),2.270094973
2004,Inflation Rate (%),2.677236693
2005,Inflation Rate (%),3.392746845
2006,Inflation Rate (%),3.225944101
2007,Inflation Rate (%),2.852672482
2008,Inflation Rate (%),3.839100297
2009,Inflation Rate (%),-0.355546266
2010,Inflation Rate (%),1.640043442
2011,Inflation Rate (%),3.156841569
2012,Inflation Rate (%),2.069337265
2013,Inflation Rate (%),1.464832656
2014,Inflation Rate (%),1.622222977
2015,Inflation Rate (%),0.118627136
2016,Inflation Rate (%),1.261583206
2017,Inflation Rate (%),2.130110004
2018,Inflation Rate (%),2.442583297
2019,Inflation Rate (%),1.812210075
2020,Inflation Rate (%),1.233584396
2021,Inflation Rate (%),4.697858864
1991,Unemployment Rate (%),6.800000191
1992,Unemployment Rate (%),7.5
1993,Unemployment Rate (%),6.900000095
1994,Unemployment Rate (%),6.119999886
1995,Unemployment Rate (%),5.650000095
1996,Unemployment Rate (%),5.449999809
1997,Unemployment Rate (%),5
1998,Unemployment Rate (%),4.510000229
1999,Unemployment Rate (%),4.21999979
2000,Unemployment Rate (%),3.99000001
2001,Unemployment Rate (%),4.730000019
2002,Unemployment Rate (%),5.78000021
2003,Unemployment Rate (%),5.989999771
2004,Unemployment Rate (%),5.53000021
2005,Unemployment Rate (%),5.079999924
2006,Unemployment Rate (%),4.619999886
2007,Unemployment Rate (%),4.619999886
2008,Unemployment Rate (%),5.78000021
2009,Unemployment Rate (%),9.25
2010,Unemployment Rate (%),9.630000114
2011,Unemployment Rate (%),8.949999809
2012,Unemployment Rate (%),8.069999695
2013,Unemployment Rate (%),7.369999886
2014,Unemployment Rate (%),6.170000076
2015,Unemployment Rate (%),5.28000021
2016,Unemployment Rate (%),4.869999886
2017,Unemployment Rate (%),4.360000134
2018,Unemployment Rate (%),3.900000095
2019,Unemployment Rate (%),3.670000076
2020,Unemployment Rate (%),8.050000191
2021,Unemployment Rate (%),5.464000225
1960,Fish Production (metric tonnes),2819044
1961,Fish Production (metric tonnes),2954551
1962,Fish Production (metric tonnes),3007924
1963,Fish Production (metric tonnes),2777749
1964,Fish Production (metric tonnes),2643835
1965,Fish Production (metric tonnes),2782558
1966,Fish Production (metric tonnes),2556493
1967,Fish Production (metric tonnes),2439025
1968,Fish Production (metric tonnes),2542058
1969,Fish Production (metric tonnes),2555898
1970,Fish Production (metric tonnes),2962979
1971,Fish Production (metric tonnes),3050820
1972,Fish Production (metric tonnes),2946225
1973,Fish Production (metric tonnes),2978682
1974,Fish Production (metric tonnes),3053006
1975,Fish Production (metric tonnes),3065741
1976,Fish Production (metric tonnes),3272174
1977,Fish Production (metric tonnes),3211927
1978,Fish Production (metric tonnes),3636483
1979,Fish Production (metric tonnes),3722375
1980,Fish Production (metric tonnes),3871666
1981,Fish Production (metric tonnes),3931248.08
1982,Fish Production (metric tonnes),4214408.04
1983,Fish Production (metric tonnes),4421466.11
1984,Fish Production (metric tonnes),5048228.24
1985,Fish Production (metric tonnes),5043440.52
1986,Fish Production (metric tonnes),5253141
1987,Fish Production (metric tonnes),6077501
1988,Fish Production (metric tonnes),6028322.96
1989,Fish Production (metric tonnes),5860605.33
1990,Fish Production (metric tonnes),5936132.44
1991,Fish Production (metric tonnes),5607652.16
1992,Fish Production (metric tonnes),5688778.38
1993,Fish Production (metric tonnes),6025070.74
1994,Fish Production (metric tonnes),6043959.56
1995,Fish Production (metric tonnes),5622646
1996,Fish Production (metric tonnes),5462704
1997,Fish Production (metric tonnes),5594191
1998,Fish Production (metric tonnes),5290998
1999,Fish Production (metric tonnes),5441932
2000,Fish Production (metric tonnes),5245362
2001,Fish Production (metric tonnes),5486918
2002,Fish Production (metric tonnes),5497389
2003,Fish Production (metric tonnes),5532897
2004,Fish Production (metric tonnes),5599950
2005,Fish Production (metric tonnes),5476042
2006,Fish Production (metric tonnes),5407735
