country,date,value
United States,2021,4.697858864
United States,2020,1.233584396
United States,2019,1.812210075
United States,2018,2.442583297
United States,2017,2.130110004
United States,2016,1.261583206
United States,2015,0.118627136
United States,2014,1.622222977
United States,2013,1.464832656
United States,2012,2.069337265
United States,2011,3.156841569
United States,2010,1.640043442
United States,2009,-0.355546266
United States,2008,3.839100297
United States,2007,2.852672482
United States,2006,3.225944101
United States,2005,3.392746845
United States,2004,2.677236693
United States,2003,2.270094973
United States,2002,1.586031627
United States,2001,2.826171119
United States,2000,3.376857271
United States,1999,2.188027197
United States,1998,1.552279099
United States,1997,2.337689937
United States,1996,2.9312042
United States,1995,2.805419689
United States,1994,2.607441592
United States,1993,2.951656966
United States,1992,3.028819678
United States,1991,4.234963965
United States,1990,5.39795644
United States,1989,4.82700303
United States,1988,4.077741107
United States,1987,3.664563218
United States,1986,1.898047722
United States,1985,3.545644152
United States,1984,4.300535475
United States,1983,3.212435233
United States,1982,6.131427
United States,1981,10.33471534
United States,1980,13.54920197
United States,1979,11.25447113
United States,1978,7.630963839
United States,1977,6.501683995
United States,1976,5.744812635
United States,1975,9.143146865
United States,1974,11.0548048
United States,1973,6.177760064
United States,1972,3.272278247
